symbol,trade_type,entry_datetime,exit_datetime,entry_price,exit_price,quantity,profit_loss,commission,price_range_high,price_range_low,Account,duration_sec,date
MNQ,Short,2025-05-19 14:19:12.607,2025-05-19 14:20:48.192,21447.0,21448.0,3.0,-10.80,4.8,21451.0,21441.0,Sim2,95.0,2025-05-19
MNQ,Long,2025-05-20 13:38:39.354,2025-05-20 13:40:41.119,21407.0,21429.0,3.0,127.20,4.8,21439.0,21406.0,Sim2,121.0,2025-05-20
MNQ,Long,2025-05-21 12:36:31.183,2025-05-21 12:39:27.452,21308.0,21292.0,3.0,-100.80,4.8,21308.0,21292.0,Sim2,176.0,2025-05-21
MCL,Short,2025-05-21 14:33:36.209,2025-05-21 15:20:18.249,62.09,61.92,14.0,216.60,22.4,62.14,61.71,Sim2,2802.0,2025-05-21
MCL,Long,2025-05-22 14:01:30.798,2025-05-22 14:05:19.642,60.54,60.46,14.0,-134.40,22.4,60.54,60.45,Sim2,228.0,2025-05-22
MCL,Long,2025-05-22 14:06:19.134,2025-05-22 14:17:09.188,60.48,60.68,14.0,263.60,22.4,60.8,60.46,Sim2,650.0,2025-05-22
MCL,Short,2025-05-22 14:17:09.188,2025-05-22 14:17:11.028,60.79,60.8,2.0,-5.20,3.2,60.8,60.78,Sim2,1.0,2025-05-22
MCL,Short,2025-05-22 14:22:07.151,2025-05-22 14:23:08.378,60.93,61.01,14.0,-134.40,22.4,61.03,60.93,Sim2,61.0,2025-05-22
MNQ,Short,2025-05-22 15:26:52.792,2025-05-22 15:30:00.607,21250.0,21214.67,3.0,207.20,4.8,21252.0,21205.0,Sim2,187.0,2025-05-22
MCL,Short,2025-05-22 16:49:42.724,2025-05-22 16:50:49.244,61.13,61.21,14.0,-134.40,22.4,61.22,61.13,Sim2,66.0,2025-05-22
MCL,Long,2025-05-26 15:32:22.918,2025-05-26 16:25:47.662,61.56,61.49,10.0,-82.00,16.0,61.65,61.47,Sim2,3204.0,2025-05-26
MNQ,Short,2025-05-26 16:22:36.979,2025-05-26 16:45:15.497,21272.0,21287.0,3.0,-94.80,4.8,21289.0,21268.0,Sim2,1358.0,2025-05-26
MNQ,Long,2025-05-27 08:56:49.240,2025-05-27 10:49:45.464,21315.0,21322.0,3.0,37.20,4.8,21353.0,21309.0,Sim2,6776.0,2025-05-27
MCL,Long,2025-05-27 10:00:20.826,2025-05-27 10:10:37.575,61.71,61.63,10.0,-96.00,16.0,61.72,61.62,Sim2,616.0,2025-05-27
MNQ,Short,2025-05-27 14:14:34.963,2025-05-27 14:17:53.092,21352.0,21368.0,3.0,-100.80,4.8,21369.0,21347.0,Sim2,198.0,2025-05-27
MCL,Short,2025-05-27 16:17:10.823,2025-05-27 16:20:16.762,60.67,60.75,10.0,-96.00,16.0,60.75,60.63,Sim2,185.0,2025-05-27
