symbol,trade_type,entry_datetime,exit_datetime,entry_price,exit_price,quantity,profit_loss,commission,price_range_high,price_range_low,Account,duration_sec,date
MNQ,Short,2025-05-12 10:17:05.068,2025-05-12 11:46:05.068,20909.82,20849.82,3.0,155.64,6.0,20915.98,20836.21,Sim2,5380,2025-05-12
MNQ,Long,2025-05-19 10:47:55.768,2025-05-19 13:31:35.768,20822.06,20854.06,3.0,-87.72,6.0,20832.11,20808.87,Sim2,10060,2025-05-19
MNQ,Short,2025-05-20 14:33:17.230,2025-05-20 16:04:37.230,21019.62,20979.62,3.0,117.18,6.0,21026.07,20976.23,Sim2,5840,2025-05-20
MCL,Short,2025-05-27 11:02:31.717,2025-05-27 12:32:31.717,59.59,59.19,10.0,39.00,16.0,60.04,59.08,Sim2,5390,2025-05-27
MNQ,Long,2025-05-13 14:05:56.354,2025-05-13 15:08:26.354,20987.98,20983.98,3.0,-12.00,6.0,20992.86,20982.04,Sim2,3710,2025-05-13
MNQ,Long,2025-05-03 15:09:10.345,2025-05-03 16:57:10.345,21205.02,21287.02,3.0,246.00,6.0,21220.45,21201.67,Sim2,7020,2025-05-03
MCL,Short,2025-05-01 15:22:16.967,2025-05-01 16:55:16.967,59.24,58.84,12.0,48.00,19.2,59.52,58.72,Sim2,5730,2025-05-01
MNQ,Long,2025-05-17 12:01:17.803,2025-05-17 13:54:17.803,20749.21,20789.21,3.0,-117.00,6.0,20757.34,20746.12,Sim2,6800,2025-05-17
MNQ,Short,2025-05-21 11:44:46.055,2025-05-21 12:53:56.055,21106.87,21066.87,3.0,120.00,6.0,21126.54,21070.33,Sim2,4250,2025-05-21
MNQ,Long,2025-05-31 14:12:53.633,2025-05-31 15:51:53.633,21245.09,21285.09,3.0,-97.00,6.0,21255.34,21240.22,Sim2,6780,2025-05-31
MNQ,Short,2025-05-30 10:16:11.200,2025-05-30 11:21:11.200,20798.56,20758.56,3.0,120.00,6.0,20800.12,20755.34,Sim2,3900,2025-05-30
MNQ,Long,2025-05-16 15:01:53.892,2025-05-16 17:02:53.892,20955.73,21025.73,3.0,204.00,6.0,20975.23,20954.12,Sim2,7320,2025-05-16
MCL,Long,2025-05-28 12:14:38.764,2025-05-28 13:36:38.764,61.45,61.75,10.0,30.00,16.0,61.89,61.32,Sim2,4800,2025-05-28
MNQ,Short,2025-05-23 13:51:05.207,2025-05-23 15:26:05.207,21189.14,21149.14,3.0,120.00,6.0,21202.56,21144.67,Sim2,6300,2025-05-23
MNQ,Long,2025-05-07 09:54:12.165,2025-05-07 11:17:12.165,20845.12,20905.12,3.0,180.00,6.0,20855.34,20840.12,Sim2,4971,2025-05-07
MNQ,Short,2025-05-11 10:38:44.502,2025-05-11 11:45:44.502,21077.32,21037.32,3.0,120.00,6.0,21095.34,21035.12,Sim2,3940,2025-05-11
MCL,Short,2025-05-15 14:14:10.657,2025-05-15 15:22:10.657,60.78,60.42,12.0,43.20,19.2,60.95,60.35,Sim2,4080,2025-05-15
MNQ,Long,2025-05-02 08:50:17.043,2025-05-02 10:23:17.043,21005.06,21065.06,3.0,180.00,6.0,21015.34,20995.11,Sim2,6010,2025-05-02
MNQ,Short,2025-05-24 12:11:32.914,2025-05-24 13:37:32.914,21238.65,21198.65,3.0,-120.00,6.0,21248.22,21195.44,Sim2,4650,2025-05-24
MNQ,Long,2025-05-25 08:42:21.387,2025-05-25 10:29:21.387,21112.45,21172.45,3.0,180.00,6.0,21125.34,21110.11,Sim2,6340,2025-05-25
MCL,Long,2025-05-05 09:18:43.281,2025-05-05 10:29:43.281,60.15,60.55,12.0,48.00,19.2,60.65,60.08,Sim2,4260,2025-05-05
MCL,Short,2025-05-10 13:25:12.748,2025-05-10 14:53:12.748,60.92,60.58,10.0,34.00,16.0,61.02,60.50,Sim2,5280,2025-05-10
MNQ,Short,2025-05-14 14:32:05.213,2025-05-14 15:58:05.213,21190.34,21150.34,3.0,-120.00,6.0,21205.12,21145.22,Sim2,5160,2025-05-14
MCL,Long,2025-05-17 11:05:09.450,2025-05-17 12:30:09.450,61.00,61.30,10.0,30.00,16.0,61.35,60.95,Sim2,5050,2025-05-17
MNQ,Long,2025-05-18 09:43:55.101,2025-05-18 11:15:55.101,21050.98,21090.98,3.0,-110.00,6.0,21060.45,21045.78,Sim2,5580,2025-05-18
MCL,Short,2025-05-21 14:40:23.678,2025-05-21 15:50:23.678,60.68,60.28,12.0,48.00,19.2,60.78,60.22,Sim2,3960,2025-05-21
