Symbol	Trade Type	Entry DateTime	Exit DateTime	Entry Price	Exit Price	Trade Quantity	Max Open Quantity	Max Closed Quantity	Profit/Loss (C)	Cumulative Profit/Loss (C)	FlatToFlat Profit/Loss (C)	FlatToFlat Max Open Profit (C)	FlatToFlat Max Open Loss (C)	Max Open Profit (C)	Max Open Loss (C)	Entry Efficiency	Exit Efficiency	Total Efficiency	Commission (C)	High Price While Open	Low Price While Open	Note	Open Position Quantity	Close Position Quantity	Duration	Account
[Sim]MCLN25-NYMEX (Sim2)	Short	2025-05-21  14:33:36.209 BP	2025-05-21  15:20:18.249 EP	62.09	61.92	14	14	14	216.60	216.60	216.60 F	297.00	-50.00	152.00	-20.00	100.0%	56.7%	39.6%	22.40	62.14	61.71	SimpleBracket.twconfig	14	0	00:46:42	Sim2
[Sim]MCLN25-NYMEX	Long	2025-05-22  14:01:30.798 BP	2025-05-22  14:05:19.642 EP	60.54	60.46	14	14	14	-134.40	82.20	-134.40 F	0.00	-126.00	0.00	-126.00	100.0%	-6.7%	-106.7%	22.40	60.54	60.45	SimpleBracket.twconfig	14	0	00:03:48	Sim2
[Sim]MCLN25-NYMEX	Long	2025-05-22  14:06:19.134 BP	2025-05-22  14:17:09.188 EP	60.48	60.68	14	14	14	263.60	345.80	263.60 F	322.00	-28.00	160.00	-10.00	100.0%	34.9%	10.9%	22.40	60.80	60.46	SimpleBracket.twconfig	14	0	00:10:50	Sim2
[Sim]MCLN25-NYMEX	Short	2025-05-22  14:17:09.188 BP	2025-05-22  14:17:11.028 EP	60.79	60.80	2	2	2	-5.20	340.60	-5.20 F	2.00	-2.00	2.00	-2.00	91.7%	-80.0%	-130.0%	3.20	60.80	60.78	SimpleBracket.twconfig	2	0	00:00:01	Sim2
[Sim]MCLN25-NYMEX	Short	2025-05-22  14:22:07.151 BP	2025-05-22  14:23:08.378 EP	60.93	61.01	14	14	14	-134.40	206.20	-134.40 F	0.00	-140.00	0.00	-140.00	100.0%	4.0%	-96.0%	22.40	61.03	60.93	SimpleBracket.twconfig	14	0	00:01:01	Sim2
[Sim]MCLN25-NYMEX	Short	2025-05-22  16:49:42.724 BP	2025-05-22  16:50:49.244 EP	61.13	61.21	14	14	14	-134.40	71.80	-134.40 F	0.00	-126.00	0.00	-126.00	100.0%	-6.7%	-106.7%	22.40	61.22	61.13	SimpleBracket.twconfig	14	0	00:01:06	Sim2
[Sim]MCLN25-NYMEX	Long	2025-05-26  15:32:22.918 BP	2025-05-26  16:25:47.662 EP	61.56	61.49	10	10	10	-82.00	-10.20	-82.00 F	72.00	-74.00	72.00	-72.00	100.0%	-81.0%	-156.3%	16.00	61.65	61.47	SimpleBracket.twconfig	10	0	00:53:24	Sim2
[Sim]MCLN25-NYMEX	Long	2025-05-27  10:00:20.826 BP	2025-05-27  10:10:37.575 EP	61.71	61.63	10	10	10	-96.00	-106.20	-96.00 F	10.00	-90.00	10.00	-90.00	100.0%	-6.0%	-96.0%	16.00	61.72	61.62	SimpleBracket.twconfig	10	0	00:10:16	Sim2
[Sim]MCLN25-NYMEX	Short	2025-05-27  16:17:10.823 BP	2025-05-27  16:20:16.762 EP	60.67	60.75	10	10	10	-96.00	-202.20	-96.00 F	40.00	-80.00	40.00	-80.00	100.0%	-13.3%	-80.0%	16.00	60.75	60.63	SimpleBracket.twconfig	10	0	00:03:05	Sim2
																										
[Sim]MNQM25-CME (Sim2)	Short	2025-05-19  14:19:12.607 BP	2025-05-19  14:20:48.192 EP	21447.00	21448.00	3	3	3	-10.80	-10.80	-10.80 F	36.00	-24.00	36.00	-24.00	100.0%	22.0%	-18.0%	4.80	21451.00	21441.00	SimpleBracket.twconfig	3	0	00:01:35	Sim2
[Sim]MNQM25-CME	Long	2025-05-20  13:38:39.354 BP	2025-05-20  13:40:41.119 EP	21407.00	21429.00	3	3	3	127.20	116.40	127.20 F	150.00	-6.00	64.00	-2.00	100.0%	60.2%	55.6%	4.80	21439.00	21406.00	SimpleBracket.twconfig	3	0	00:02:01	Sim2
[Sim]MNQM25-CME	Long	2025-05-21  12:36:31.183 BP	2025-05-21  12:39:27.452 EP	21308.00	21292.00	3	3	3	-100.80	15.60	-100.80 F	0.00	-96.00	0.00	-96.00	100.0%	-5.0%	-105.0%	4.80	21308.00	21292.00	SimpleBracket.twconfig	3	0	00:02:56	Sim2
[Sim]MNQM25-CME	Short	2025-05-22  15:26:52.792 BP	2025-05-22  15:30:00.607 EP	21250.00	21214.67	3	3	3	207.20	222.80	207.20 F	218.00	-12.00	180.00	-8.00	100.0%	85.9%	78.5%	4.80	21252.00	21205.00	SimpleBracket.twconfig	3	0	00:03:07	Sim2
[Sim]MNQM25-CME	Short	2025-05-26  16:22:36.979 BP	2025-05-26  16:45:15.497 EP	21272.00	21287.00	3	3	3	-94.80	128.00	-94.80 F	24.00	-102.00	24.00	-102.00	100.0%	5.7%	-75.2%	4.80	21289.00	21268.00	SimpleBracket.twconfig	3	0	00:22:38	Sim2
[Sim]MNQM25-CME	Long	2025-05-27  08:56:49.240 BP	2025-05-27  10:49:45.464 EP	21315.00	21322.00	3	3	3	37.20	165.20	37.20 F	222.00	-36.00	152.00	-24.00	100.0%	46.6%	32.3%	4.80	21353.00	21309.00	SimpleBracket.twconfig	3	0	01:52:56	Sim2
[Sim]MNQM25-CME	Short	2025-05-27  14:14:34.963 BP	2025-05-27  14:17:53.092 EP	21352.00	21368.00	3	3	3	-100.80	64.40	-100.80 F	30.00	-102.00	30.00	-102.00	100.0%	0.9%	-76.4%	4.80	21369.00	21347.00	SimpleBracket.twconfig	3	0	00:03:18	Sim2
									Total: -137.80																	
